phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,command,returncode,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,20,0.75,75,375,30,240,2026-07-05T17:17:16,2026-07-05T17:21:19,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8081,0,90000,89996,4,0.0044444444444444444,375.0,0.016666666666666666,37300.0,51700.0,91000.0,106200.0,30818.495266456288,"{""200"": 89996, ""503"": 4}"
2,prequal,20,0.75,75,375,30,240,2026-07-05T17:21:20,2026-07-05T17:25:23,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,89997,89997,0,0.0,374.9875,0.0,15900.000000000002,52200.0,90500.0,99200.0,29336.594553151772,"{""200"": 89997}"
3,wrr,20,0.83,83,415,30,240,2026-07-05T17:25:23,2026-07-05T17:29:27,hey -z 240s -q 13.8333 -c 30 -o csv http://localhost:8081,0,99600,99598,2,0.002008032128514056,415.0,0.008333333333333333,38000.0,54400.0,91200.0,112900.0,31170.846804152694,"{""200"": 99598, ""503"": 2}"
4,prequal,20,0.83,83,415,30,240,2026-07-05T17:29:27,2026-07-05T17:33:31,hey -z 240s -q 13.8333 -c 30 -o csv http://localhost:8080,0,99600,99600,0,0.0,415.0,0.0,15500.0,52400.0,90100.0,101600.0,29235.16967871486,"{""200"": 99600}"
5,wrr,20,0.93,93,465,30,240,2026-07-05T17:33:31,2026-07-05T17:37:35,hey -z 240s -q 15.5000 -c 30 -o csv http://localhost:8081,0,111542,111532,10,0.00896523282709652,464.7583333333333,0.041666666666666664,37900.0,56600.0,91100.0,114300.0,31269.30208370692,"{""200"": 111532, ""503"": 10}"
6,prequal,20,0.93,93,465,30,240,2026-07-05T17:37:36,2026-07-05T17:41:40,hey -z 240s -q 15.5000 -c 30 -o csv http://localhost:8080,0,111572,111570,2,0.0017925644426917148,464.8833333333333,0.008333333333333333,15200.0,52400.0,90600.0,105300.0,29197.713543067133,"{""200"": 111570, ""503"": 2}"
7,wrr,20,1.03,103,515,30,240,2026-07-05T17:41:40,2026-07-05T17:45:45,hey -z 240s -q 17.1667 -c 30 -o csv http://localhost:8081,0,123298,123284,14,0.011354604292040422,513.7416666666667,0.058333333333333334,37600.0,59600.0,91900.0,117900.0,31518.503617663282,"{""200"": 123284, ""503"": 14}"
8,prequal,20,1.03,103,515,30,240,2026-07-05T17:45:45,2026-07-05T17:49:50,hey -z 240s -q 17.1667 -c 30 -o csv http://localhost:8080,0,123528,123526,2,0.0016190661226604495,514.7,0.008333333333333333,14900.0,52200.0,89900.0,103900.0,28588.837977429852,"{""200"": 123526, ""503"": 2}"
9,wrr,20,1.14,114,570,30,240,2026-07-05T17:49:50,2026-07-05T17:53:55,hey -z 240s -q 19.0000 -c 30 -o csv http://localhost:8081,0,135575,135539,36,0.02655356813571824,564.8958333333334,0.15,15000.0,62500.0,93900.0,122300.0,31729.92644183593,"{""200"": 135539, ""503"": 36}"
10,prequal,20,1.14,114,570,30,240,2026-07-05T17:53:56,2026-07-05T17:58:01,hey -z 240s -q 19.0000 -c 30 -o csv http://localhost:8080,0,136669,136666,3,0.002195084474167514,569.4541666666667,0.0125,14700.0,52500.0,89900.0,103600.0,28508.596139493362,"{""200"": 136666, ""503"": 3}"
11,wrr,20,1.27,127,635,30,240,2026-07-05T17:58:02,2026-07-05T18:02:07,hey -z 240s -q 21.1667 -c 30 -o csv http://localhost:8081,0,148394,148326,68,0.04582395514643449,618.3083333333333,0.2833333333333333,14500.0,66600.0,99400.0,126000.0,32273.346547469762,"{""200"": 148326, ""503"": 68}"
12,prequal,20,1.27,127,635,30,240,2026-07-05T18:02:08,2026-07-05T18:06:13,hey -z 240s -q 21.1667 -c 30 -o csv http://localhost:8080,0,151803,151803,0,0.0,632.5125,0.0,13800.0,52000.0,87400.0,98100.0,27742.18823079913,"{""200"": 151803}"
13,wrr,20,1.41,141,705,30,240,2026-07-05T18:06:14,2026-07-05T18:10:19,hey -z 240s -q 23.5000 -c 30 -o csv http://localhost:8081,0,156072,155968,104,0.0666359116305295,650.3,0.43333333333333335,14600.0,66700.0,100800.0,127000.0,32755.59666085351,"{""200"": 155968, ""503"": 104}"
14,prequal,20,1.41,141,705,30,240,2026-07-05T18:10:20,2026-07-05T18:14:26,hey -z 240s -q 23.5000 -c 30 -o csv http://localhost:8080,0,167982,167982,0,0.0,699.925,0.0,12400.0,48900.0,76300.0,91800.0,21963.387148623067,"{""200"": 167982}"
15,wrr,20,1.57,157,785,30,240,2026-07-05T18:14:27,2026-07-05T18:18:33,hey -z 240s -q 26.1667 -c 30 -o csv http://localhost:8081,0,167738,167611,127,0.07571331481238598,698.9083333333333,0.5291666666666667,12600.0,66900.0,104300.0,127300.0,31855.263676011717,"{""200"": 167611, ""503"": 127}"
16,prequal,20,1.57,157,785,30,240,2026-07-05T18:18:34,2026-07-05T18:22:40,hey -z 240s -q 26.1667 -c 30 -o csv http://localhost:8080,0,187795,187795,0,0.0,782.4791666666666,0.0,11900.0,46900.0,56300.0,86800.0,18106.287707340452,"{""200"": 187795}"
17,wrr,20,1.74,174,870,30,240,2026-07-05T18:22:41,2026-07-05T18:26:47,hey -z 240s -q 29.0000 -c 30 -o csv http://localhost:8081,0,179368,179233,135,0.0752642611837117,747.3666666666667,0.5625,12200.0,65400.0,102900.0,126000.0,30303.559054415204,"{""200"": 179233, ""503"": 135}"
18,prequal,20,1.74,174,870,30,240,2026-07-05T18:26:48,2026-07-05T18:30:55,hey -z 240s -q 29.0000 -c 30 -o csv http://localhost:8080,0,208221,208221,0,0.0,867.5875,0.0,11700.0,45800.0,55900.0,83300.0,17068.43642091816,"{""200"": 208221}"
