servers,run_dir,phase,algo,load_frac,load_pct,target_qps,workers,duration_s,response_qps,error_qps,error_pct,total_responses,ok_responses,error_responses,status_dist
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,1,wrr,0.75,75,94.0,8,240.0,94.0,0.0,0.0,22560,22560,0,"{""200"": 22560}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,2,prequal,0.75,75,94.0,8,240.0,94.0,0.0,0.0,22560,22560,0,"{""200"": 22560}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,3,wrr,0.83,83,104.0,8,240.0,104.0,0.0,0.0,24960,24960,0,"{""200"": 24960}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,4,prequal,0.83,83,104.0,8,240.0,104.0,0.0,0.0,24960,24960,0,"{""200"": 24960}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,5,wrr,0.93,93,116.0,8,240.0,115.9875,0.0,0.0,27837,27837,0,"{""200"": 27837}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,6,prequal,0.93,93,116.0,8,240.0,115.99583333333334,0.0,0.0,27839,27839,0,"{""200"": 27839}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,7,wrr,1.03,103,129.0,8,240.0,128.96666666666667,0.0,0.0,30952,30952,0,"{""200"": 30952}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,8,prequal,1.03,103,129.0,8,240.0,128.95416666666668,0.0,0.0,30949,30949,0,"{""200"": 30949}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,9,wrr,1.14,114,142.0,8,240.0,141.50416666666666,0.0,0.0,33961,33961,0,"{""200"": 33961}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,10,prequal,1.14,114,142.0,8,240.0,141.95416666666668,0.0,0.0,34069,34069,0,"{""200"": 34069}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,11,wrr,1.27,127,159.0,8,240.0,156.675,0.0,0.0,37602,37602,0,"{""200"": 37602}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,12,prequal,1.27,127,159.0,8,240.0,158.9875,0.0,0.0,38157,38157,0,"{""200"": 38157}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,13,wrr,1.41,141,176.0,8,240.0,168.475,0.0,0.0,40434,40434,0,"{""200"": 40434}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,14,prequal,1.41,141,176.0,8,240.0,175.97083333333333,0.0,0.0,42233,42233,0,"{""200"": 42233}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,15,wrr,1.57,157,196.0,8,240.0,175.9875,0.008333333333333333,0.004735184790586453,42237,42235,2,"{""200"": 42235, ""503"": 2}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,16,prequal,1.57,157,196.0,8,240.0,195.98333333333332,0.0,0.0,47036,47036,0,"{""200"": 47036}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,17,wrr,1.74,174,218.0,8,240.0,190.84166666666667,0.0,0.0,45802,45802,0,"{""200"": 45802}"
5,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_5/run_20260706_191100,18,prequal,1.74,174,218.0,8,240.0,218.0,0.0,0.0,52320,52320,0,"{""200"": 52320}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,1,wrr,0.75,75,188.0,15,240.0,188.0,0.0,0.0,45120,45120,0,"{""200"": 45120}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,2,prequal,0.75,75,188.0,15,240.0,188.0,0.0,0.0,45120,45120,0,"{""200"": 45120}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,3,wrr,0.83,83,208.0,15,240.0,208.0,0.0,0.0,49920,49920,0,"{""200"": 49920}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,4,prequal,0.83,83,208.0,15,240.0,208.0,0.0,0.0,49920,49920,0,"{""200"": 49920}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,5,wrr,0.93,93,232.0,15,240.0,231.925,0.004166666666666667,0.0017965577952642735,55662,55661,1,"{""200"": 55661, ""503"": 1}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,6,prequal,0.93,93,232.0,15,240.0,231.97083333333333,0.0,0.0,55673,55673,0,"{""200"": 55673}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,7,wrr,1.03,103,258.0,15,240.0,257.4916666666667,0.008333333333333333,0.0032363506909608725,61798,61796,2,"{""200"": 61796, ""503"": 2}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,8,prequal,1.03,103,258.0,15,240.0,257.925,0.004166666666666667,0.0016154566896061516,61902,61901,1,"{""200"": 61901, ""503"": 1}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,9,wrr,1.14,114,285.0,15,240.0,282.925,0.004166666666666667,0.001472710671261524,67902,67901,1,"{""200"": 67901, ""503"": 1}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,10,prequal,1.14,114,285.0,15,240.0,284.90416666666664,0.0,0.0,68377,68377,0,"{""200"": 68377}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,11,wrr,1.27,127,318.0,15,240.0,311.2583333333333,0.020833333333333332,0.0066932612245990735,74702,74697,5,"{""200"": 74697, ""503"": 5}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,12,prequal,1.27,127,318.0,15,240.0,317.89166666666665,0.0,0.0,76294,76294,0,"{""200"": 76294}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,13,wrr,1.41,141,352.0,15,240.0,328.6458333333333,0.09166666666666666,0.027892234548335976,78875,78853,22,"{""200"": 78853, ""503"": 22}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,14,prequal,1.41,141,352.0,15,240.0,352.0,0.0,0.0,84480,84480,0,"{""200"": 84480}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,15,wrr,1.57,157,392.0,15,240.0,350.3375,0.09583333333333334,0.02735457475529549,84081,84058,23,"{""200"": 84058, ""503"": 23}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,16,prequal,1.57,157,392.0,15,240.0,392.0,0.0,0.0,94080,94080,0,"{""200"": 94080}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,17,wrr,1.74,174,435.0,15,240.0,378.7083333333333,0.08333333333333333,0.022004620970403784,90890,90870,20,"{""200"": 90870, ""503"": 20}"
10,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_10/run_20260706_202422,18,prequal,1.74,174,435.0,15,240.0,435.0,0.0,0.0,104400,104400,0,"{""200"": 104400}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,1,wrr,0.75,75,375.0,30,240.0,374.9916666666667,0.0125,0.0033334074090535346,89998,89995,3,"{""200"": 89995, ""503"": 3}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,2,prequal,0.75,75,375.0,30,240.0,375.0,0.0,0.0,90000,90000,0,"{""200"": 90000}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,3,wrr,0.83,83,415.0,30,240.0,414.9916666666667,0.020833333333333332,0.0050201811281351035,99598,99593,5,"{""200"": 99593, ""503"": 5}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,4,prequal,0.83,83,415.0,30,240.0,414.9875,0.0125,0.0030121389198469834,99597,99594,3,"{""200"": 99594, ""503"": 3}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,5,wrr,0.93,93,465.0,30,240.0,464.7875,0.025,0.005378802140763252,111549,111543,6,"{""200"": 111543, ""503"": 6}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,6,prequal,0.93,93,465.0,30,240.0,464.85,0.0,0.0,111564,111564,0,"{""200"": 111564}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,7,wrr,1.03,103,515.0,30,240.0,513.5166666666667,0.1125,0.021907760215507447,123244,123217,27,"{""200"": 123217, ""503"": 27}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,8,prequal,1.03,103,515.0,30,240.0,514.6125,0.016666666666666666,0.003238682827693977,123507,123503,4,"{""200"": 123503, ""503"": 4}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,9,wrr,1.14,114,570.0,30,240.0,564.7625,0.17083333333333334,0.03024870336350826,135543,135502,41,"{""200"": 135502, ""503"": 41}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,10,prequal,1.14,114,570.0,30,240.0,569.5333333333333,0.004166666666666667,0.0007315931171719537,136688,136687,1,"{""200"": 136687, ""503"": 1}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,11,wrr,1.27,127,635.0,30,240.0,618.7666666666667,0.2375,0.0383828045035824,148504,148447,57,"{""200"": 148447, ""503"": 57}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,12,prequal,1.27,127,635.0,30,240.0,632.275,0.016666666666666666,0.0026359838150593756,151746,151742,4,"{""200"": 151742, ""503"": 4}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,13,wrr,1.41,141,705.0,30,240.0,650.8333333333334,0.5916666666666667,0.09090909090909091,156200,156058,142,"{""200"": 156058, ""503"": 142}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,14,prequal,1.41,141,705.0,30,240.0,699.325,0.0,0.0,167838,167838,0,"{""200"": 167838}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,15,wrr,1.57,157,785.0,30,240.0,699.5791666666667,0.49583333333333335,0.07087594327542153,167899,167780,119,"{""200"": 167780, ""503"": 119}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,16,prequal,1.57,157,785.0,30,240.0,782.4458333333333,0.0,0.0,187787,187787,0,"{""200"": 187787}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,17,wrr,1.74,174,870.0,30,240.0,752.55,0.4083333333333333,0.05425996057847762,180612,180514,98,"{""200"": 180514, ""503"": 98}"
20,/Users/gary/Downloads/loadbalancer-prequal/final/results_experiment1_scaling_20260707_030851/servers_20/run_20260706_213806,18,prequal,1.74,174,870.0,30,240.0,867.4333333333333,0.0,0.0,208184,208184,0,"{""200"": 208184}"
